query,type,class,first_ans_default,num_ans_RR_default,lookup_time_default,first_ans_custom,num_ans_RR_custom,lookup_time_custom,first_ans_custom_RD,num_ans_RR_custom_RD,lookup_time_custom_RD
koopsmodellbau.de,1,1,217.160.0.247,1,822,217.160.0.247,1,683,217.160.0.247,1,47
lespetiteschoses.com,1,1,23.227.38.65,1,1829,23.227.38.65,1,284,23.227.38.65,1,46
b2b2c.ca,1,1,13.107.246.36,1,1503,13.107.246.36,1,936,13.107.246.36,1,46
pilsnerurquell.com,1,1,,0,1518,93.185.98.138,1,933,93.185.98.138,1,46
medintime.ru,1,1,104.21.2.236,2,1073,104.21.2.236,2,533,104.21.2.236,2,47
njafe.org,1,1,103.224.182.253,1,851,,0,10329,,0,10365
djbarryblends.com,1,1,54.225.184.165,1,394,54.225.184.165,1,425,54.225.184.165,1,45
deine-bahn.de,1,1,92.204.239.74,1,1050,92.204.239.74,1,667,92.204.239.74,1,45
hackthissite.org,1,1,,0,648,137.74.187.100,5,949,137.74.187.100,5,46
ereadz.com,1,1,,0,292,,0,11121,,0,11312
gurukulonline.com,1,1,13.248.169.48,2,674,76.223.54.146,2,642,76.223.54.146,2,45
sf-notifications.com,1,1,,0,643,,0,10253,,0,10491
capequilog.com,1,1,,0,1385,208.94.116.26,1,841,208.94.116.26,1,47
greens.my,1,1,104.21.4.120,2,1763,172.67.132.13,2,361,172.67.132.13,2,46
2xfzy.com,1,1,23.226.181.53,1,958,23.226.181.53,1,646,23.226.181.53,1,51
magic-illusion.ru,1,1,104.21.4.130,2,856,104.21.4.130,2,531,104.21.4.130,2,45
irflashgame.com,1,1,,0,1074,,0,11179,,0,11270
solcredito.es,1,1,18.239.153.17,4,470,18.239.153.56,4,924,18.239.153.56,4,48
go2jump.com,1,1,34.175.54.178,1,610,34.175.54.178,1,516,34.175.54.178,1,45
millionfareast.com,1,1,72.167.243.77,1,762,72.167.243.77,1,438,72.167.243.77,1,45
msf.be,1,1,77.241.81.151,1,1068,77.241.81.151,1,5984,77.241.81.151,1,45
cellslider.net,1,1,20.237.25.126,1,381,20.237.25.126,1,371,20.237.25.126,1,46
bhhsneproperties.com,1,1,8.43.189.250,1,549,8.43.189.250,1,325,8.43.189.250,1,49
skplus.kr,1,1,,0,332,,0,5026,,0,4835
empclan.com,1,1,64.26.30.251,1,577,64.26.30.251,1,599,64.26.30.251,1,45
carolgraykennedy.com,1,1,,0,151,,0,11067,,0,11234
kiyimuzik.com,1,1,172.67.145.101,2,351,104.21.63.112,2,319,104.21.63.112,2,47
yunpda.com,1,1,,0,121,,0,11153,,0,11148
valdo.com,1,1,23.227.38.65,1,646,23.227.38.65,1,523,23.227.38.65,1,51
supportpabiomass.org,1,1,162.248.51.100,1,1033,162.248.51.100,1,893,162.248.51.100,1,46
roche-applied-science.com,1,1,,0,415,149.250.245.221,1,1140,149.250.245.221,1,47
oneworldinfo.com,1,1,13.223.25.84,2,1744,54.243.117.197,2,580,54.243.117.197,2,46
7apcrshrmanila.org,1,1,,0,280,,0,3521,,0,2686
ilikecrochet.com,1,1,192.124.249.58,1,1710,192.124.249.58,1,237,192.124.249.58,1,93
closerdiets.com,1,1,5.22.145.16,2,771,5.22.145.121,2,508,5.22.145.121,2,45
myface.com,1,1,,0,628,,0,11030,,0,10070
megi.cz,1,1,45.138.107.19,2,1044,45.138.107.19,2,569,45.138.107.19,2,51
pces.in,1,1,195.35.44.242,1,1068,195.35.44.242,1,283,195.35.44.242,1,65
originalmagicart.com,1,1,15.197.225.128,2,1761,15.197.225.128,2,561,15.197.225.128,2,54
godo.co.kr,1,1,180.210.81.80,1,2772,180.210.81.80,1,1018,180.210.81.80,1,69
ugotrelis.com,1,1,213.186.33.82,1,572,213.186.33.82,1,630,213.186.33.82,1,71
alb-automobiles.com,1,1,,0,311,,0,11198,,0,11175
ok-magazine.ru,1,1,188.124.32.70,1,916,188.124.32.70,1,1123,188.124.32.70,1,45
wiltpr.com,1,1,,0,307,,0,11162,,0,10963
dmg-dental.com,1,1,49.13.234.53,1,440,49.13.234.53,1,718,49.13.234.53,1,63
silkroadtours.com,1,1,23.236.62.147,1,589,23.236.62.147,1,411,23.236.62.147,1,52
rositehost.com,1,1,178.157.78.2,1,510,178.157.78.2,1,603,178.157.78.2,1,45
livescan4all.com,1,1,149.20.203.54,1,598,149.20.203.54,1,289,149.20.203.54,1,46
oberandsons.com,1,1,34.128.166.114,1,539,34.128.166.114,1,408,34.128.166.114,1,46
celerity.com,1,1,35.188.214.201,1,404,35.188.214.201,1,409,35.188.214.201,1,45
miscellaneousheathen.com,1,1,75.127.72.229,1,591,75.127.72.229,1,533,75.127.72.229,1,48
rolflouisville.com,1,1,208.88.75.191,1,564,208.88.75.191,1,350,208.88.75.191,1,51
jacquelinemertz.ch,1,1,,0,318,,0,2784,,0,2233
gaplex.biz,1,1,,0,214,,0,2592,,0,2456
frasesdemotivacao.net,1,1,,0,125,,0,12070,,0,12104
divefishhouse.com,1,1,,0,237,,0,11148,,0,11084
stark.dk,1,1,20.50.2.80,1,749,20.50.2.80,1,509,20.50.2.80,1,52
xxx-muschis.de,1,1,,0,287,,0,4004,,0,3831
florenseusa.com,1,1,34.95.203.179,1,750,34.95.203.179,1,490,34.95.203.179,1,46
